country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Afghanistan;61.2;61.2;63.4;11;15;15;0.102;0.103;0.103;6;6;5.5;2.11;2.68;2.76;36.8;36.8;36.8;5.18;;;;0.00995;0.00957;0.00945
Albania;78;78.1;78.2;36;39;38;0.298;0;0.342;3;3;3;3.82;4.72;5.03;29;29;29;225;24.9;25;24.8;0.0116;0.011;0.0111
Algeria;77.1;77.4;77.7;36;34;33;0;0;0;5.5;5.5;5.5;2.1;2.36;2.5;27.6;27.6;27.6;257;0;0;0;0.0627;0.0638;0.0601
Angola;63.3;63.8;64.2;15;18;19;;;;6;6;6;2.46;2.77;0.262;42.6;42.6;42.6;139;0;0;0;0.0311;0.0273;0.0242
Argentina;76.5;76.5;76.7;32;36;39;0.156;0.152;0.15;2;2;2;-0.128;0.367;0.861;41.8;42.1;42.3;703;0;30.3;29.7;0.0085;0.00813;0.00856
Armenia;75.3;75.4;75.6;35;33;35;0.11;0.113;0.102;4.5;4.5;4.5;4.29;4.49;4.79;31.9;32.3;32.5;96.9;26.7;25.3;28.4;0.0424;0.0409;0.0385
Australia;82.5;82.5;82.4;79;79;77;0.188;0.193;0;1;1;1;1.48;1.73;1.7;32.3;32.3;32.3;2340;0;0;0;0.0195;0.0208;0.02
Austria;81.5;81.7;81.8;76;75;75;0.232;0.235;0;1;1;1;1.31;1.2;1.03;30.6;30.5;30.5;3400;23.8;23.9;23;0.00698;0.00733;0.00756
Azerbaijan;70.5;70.6;70.8;29;30;31;;;;6.5;6.5;6.5;3.78;2.66;2.4;32.4;32.4;32.4;118;0;0;0;0.0546;0.0369;0.0382
Bahamas;73.3;73.6;73.7;;66;65;;;;1;1;1;1.64;1.69;1.36;43.7;43.7;43.7;907;;;;;;
Bahrain;79.3;79.4;79.5;51;43;36;0.112;0;0;6.5;6.5;6.5;1.23;1.24;1.45;40;40;40;794;;;;0.0463;0.0467;0.0434
Bangladesh;72.5;72.9;73.1;25;26;28;0;0;0;4;4;4;5.41;5.66;5.9;32.3;32.4;32.4;8.07;0;26.8;0;0.0135;0.0137;0.0124
Barbados;77.1;77.1;77.1;;61;68;0;0.208;0;1;1;1;0.64;1.36;1.52;43.8;43.8;43.8;990;;;;;;
Belarus;73.8;74;74;32;40;44;;;;6.5;6.5;6;3.01;3.26;3.19;26.9;27;26.9;611;21.2;21.3;21.3;0.0128;0.0126;0.0116
Belgium;80.9;81.2;81.4;77;77;75;0.22;0.219;0;1;1;1;0.781;0.654;0.723;27.8;27.8;27.7;3010;22.2;22.2;21.9;0.00922;0.00906;0.00895
Benin;63.5;64.1;64.6;37;36;39;0.103;0;0;2;2;2;2.59;2.27;2.35;46.9;47.5;47.8;32;37.6;0;0;0.011;0.00928;0.0126
Bhutan;73.5;73.8;74;65;65;67;0;0;0;3.5;3.5;3.5;7.34;7.97;8.4;38;37.8;37.6;239;0;0;27.9;;;
Bolivia;72.2;72.5;72.8;34;33;33;;;;3;3;3;3.04;3.04;3.04;46.3;45.7;45.1;147;34.8;32.1;31.7;0.0174;0.0163;0.0154
Bosnia and Herzegovina;76.4;76.5;76.7;38;39;38;;;;3.5;4;4;3.41;3.94;4.26;32.7;32.7;32.7;597;0;0;0;0.01;0.00934;0.00864
Botswana;66.9;68.1;69.1;63;60;61;0;0;0;2.5;2.5;2.5;3.17;2.86;2.81;60.5;60.5;60.5;830;41.5;0;0;0.0266;0.0329;0.0301
Brazil;75.5;75.4;75.5;38;40;37;0.201;0;0;2;2;2;1.81;2.19;2.36;51.6;51.4;51.3;484;40.9;42.1;42;0.0137;0.0135;0.0142
Brunei;75.1;75.2;75.3;;58;62;0;0.0887;0;5.5;5.5;5.5;1.39;2.07;3.85;40;40;40;1230;;;;0.0328;0.0354;0.0287
Bulgaria;74.8;74.9;74.9;41;41;43;0;0;0;2;2;2;3.02;3.52;3.52;37.3;37.4;37.4;516;28.7;31.4;31.9;0.0126;0.0126;0.0124
Burkina Faso;60.7;61.2;61.7;38;42;42;0.161;0;0;3.5;3.5;3.5;4.61;4.64;4.66;35.5;35.3;35.3;47.2;0;0;0;0.0142;0.0132;0.0153
Burundi;60.8;61.2;61.5;21;20;22;0;0;0;6.5;6.5;6.5;2.34;2.54;2.73;38.5;38.6;38.6;18.1;0;0;0;0.022;0.0212;0.0187
Cambodia;69.3;69.6;69.9;21;21;21;0;0;0;5.5;5.5;5.5;6.25;6.23;6.47;42;42;42;45.1;;;;0.018;0.0191;0.021
Cameroon;61.2;62.1;63;27;26;25;0;0;0;6;6;6;2.49;2.66;2.74;46.5;46.6;46.6;36;0;0;0;0.0114;0.0119;0.0117
Canada;81.7;81.9;82;83;82;82;0.176;0;0;1;1;1;1.34;1.35;1.26;31.7;31.1;31.1;3100;0;0;25.3;0.0115;0.0116;0.0135
Cape Verde;75.3;75.5;75.8;55;59;55;0.166;0.171;0.167;1;1;1;2.27;2.8;2.76;47.2;47.2;47.2;138;32.3;0;0;0.00559;0.00612;0.0053
Central African Republic;50.9;51.7;51.9;24;20;23;0;0;0;7;7;7;3.27;3.67;3.67;56.2;56.2;56.2;11;0;0;0;0.0169;0.0153;0.0144
Chad;59.2;59.7;60;22;20;20;0;0;0;6.5;6.5;6.5;4.71;2.15;0.785;43.3;43.3;43.3;15.4;0;0;0;0.0202;0.0307;0.0224
Chile;79.6;79.7;79.7;70;66;67;0.152;0.183;0.184;1;1;1;3.15;3.44;3.71;47.5;47.6;47.7;578;36.1;0;36.3;0.019;0.0192;0.0193
China;76.5;76.7;77.1;37;40;41;0;0;0;6.5;6.5;6.5;6.75;6.44;6.23;39.4;39.2;39.1;203;29.4;29.4;0;0.0191;0.0193;0.019
Colombia;80;80;80.1;37;37;37;0.174;0.174;0.178;3.5;3;3;3.25;3.3;3.27;51.7;51.3;50.9;518;40;40;39;0.0311;0.0307;0.0321
Comoros;68;68.3;68.6;26;24;27;0;0;0;3.5;3.5;3.5;1.83;1.83;1.86;45.5;45.3;45.3;33;0;0;0;;;
Congo;60.5;61.3;61.9;22;22;21;0;0;0;6;6;6.5;5.52;5.38;4.8;42.1;42.1;42.1;14;0;0;0;0.0095;0.0128;0.00949
Congo;60.5;61.3;61.9;23;23;20;0;0;0;6;6;6.5;5.52;5.38;4.8;42.1;42.1;42.1;14;0;0;0;0.0095;0.0128;0.00949
Costa Rica;79.9;79.5;79.5;55;58;59;0.267;0.249;0.223;1;1;1;1.83;2.02;2.22;48.7;48.6;48.6;846;36.8;37.3;37;0;0;0
Cote d'Ivoire;61;61.7;62.5;32;34;36;0.138;0.158;0.132;4;4;4;4.51;4.52;4.23;41.6;41.5;41.5;21.1;31.9;0;0;0.0172;0.0166;0.0125
Croatia;77.6;78.3;78.5;51;49;49;;;;1.5;1.5;1.5;0.4;1.3;1.94;31.5;31.3;31.1;1290;23.2;23.2;22.8;0.0178;0.0162;0.0167
Cuba;78.2;78.3;78.4;47;47;47;0;0;0;6.5;6.5;6.5;0;0;0;43.4;43.4;43.4;395;;;;0.0308;0.0307;0.0287
Cyprus;81.5;81.7;81.7;61;55;57;0.322;0.319;0;1;1;1;-0.184;0.861;1.4;34.9;34.3;34;764;27.5;26.8;25.5;0.0166;0.0142;0.0159
Czech Republic;78.8;79;79.2;56;55;57;0.149;0.139;0;1;1;1;1.86;2;2.17;26;25.9;25.9;1720;22.1;21.9;21.5;0.00953;0.01;0.00969
Denmark;80.9;80.8;80.8;91;90;88;0;0;0;1;1;1;1.33;1.34;1.36;28.3;28.2;28.2;3860;23.8;23.7;24;0.0111;0.0115;0.0115
Djibouti;66.3;66.9;67.3;34;30;31;0;0.373;0;5.5;5.5;5.5;3.55;3.6;3.6;44.1;44.1;44.1;111;0;0;32.3;0;0;0
Dominica;72.4;72.7;72.8;;59;57;0.146;0;0;1;1;1;1.72;1.99;2.21;40;40;40;509;;;;;;
Dominican Republic;72.8;72.8;73.1;33;31;29;0.149;0.158;0.146;3;3;3;2.27;2.27;2.17;45.3;44.9;45.2;250;34.9;35.4;33.5;0.00666;0.00663;0.00701
Ecuador;76.6;76.5;76.7;32;31;32;0.0943;0.0951;0;3;3.5;3;1.9;1.94;1.97;45.6;45.2;45.2;243;34.9;34.3;33.8;0.0262;0.0251;0.0236
Egypt;70.2;70.5;70.6;36;34;32;0;0;0.0985;5.5;5.5;6;2.05;2.04;1.92;31.2;31.6;31.8;108;27.8;0;26.9;0.0172;0.0167;0.0142
El Salvador;72.1;73.8;74;39;36;33;0.136;0.162;0.16;2.5;2.5;2.5;1.29;1.39;1.59;41.1;40.4;40.1;278;31.8;30.6;29.1;0.0107;0.0104;0.0105
Equatorial Guinea;64.7;65;65.5;;;17;;;;7;7;7;-10.7;-1.76;-7.96;40;40;40;1170;;;;0.0104;0.0124;0.011
Eritrea;61.6;62.1;62.7;18;18;20;0;0;0;7;7;7;-1.32;-1.25;-1.26;40;40;40;7.72;;;;0;0;0
Estonia;77.7;77.9;78.1;70;70;71;0.2;0.203;0;1;1;1;3.25;3.53;3.64;33.5;33.1;32.7;965;24.4;23.1;22.5;0.0201;0.0207;0.0201
Eswatini;55.8;57.9;59.9;;;39;0;0;0;6;6;6.5;0.878;0.858;0.759;51.5;51.5;51.5;212;0;42.7;0;0.0175;0.0199;0.0189
Ethiopia;67.2;67.8;68.4;33;34;35;0.0788;0;0;6.5;6.5;6.5;5.17;4.71;4.71;37.7;38.4;38.8;27.1;28.5;0;0;0.00705;0.00695;0.00666
Finland;81.6;81.5;81.4;90;89;85;0.22;0.215;0;1;1;1;0.648;1.13;1.26;27.1;27;27.1;2460;22.4;22.4;22.6;0.0146;0.0143;0.0137
France;82.5;82.8;82.8;70;69;70;0.175;0.174;0;1;1.5;1.5;1.07;1.25;1.36;32.6;32.6;32.7;3130;26.6;25.9;25.8;0.0187;0.0192;0.0191
Gabon;67;67.7;68.4;34;35;32;0;0;0;5.5;5.5;6;4.83;5.28;4.66;38.7;38.4;38.2;276;0;0;27.7;0.0119;0.0145;0.0181
Gambia;65.1;65.4;65.8;28;26;30;0.0847;0;0;6.5;6;4.5;4.12;2.69;2.67;37.8;36.8;36.2;40.5;28.7;0;0;0.00997;0;0
Georgia;73;72.8;72.8;52;57;56;0;0;0;3;3;3;5.32;5.33;5.31;37;36.6;36.5;123;27.8;28.2;28.9;0.0214;0.0219;0.0206
Germany;80.7;80.5;80.6;81;81;81;0.175;0.174;0;1;1;1;1.45;1.39;1.39;31.6;31.7;31.7;3340;24.8;24.6;0;0.011;0.0115;0.0116
Ghana;64.4;64.8;65.5;47;43;40;0;0;0;1.5;1.5;1.5;2.76;5.43;4.78;42.4;42.4;42.4;50.5;0;32.2;0;0.00527;0.00382;0.00402
Greece;80.8;80.9;81;46;44;48;0.202;0.203;0;2;2;2;3.02;3.81;3.59;36;36;36;1700;26.2;25.9;25.9;0.0245;0.0254;0.0252
Grenada;73.9;74;74.1;;56;52;0;0;0.0818;1.5;1.5;1.5;0.893;1.39;1.69;40;40;40;267;;;;;;
Guatemala;72.9;72.6;72.6;28;28;28;0.101;0.111;0.114;4;4;4;0.976;0.976;0.976;48.5;48.3;48.3;114;0;0;0;0.00396;0.00424;0.00364
Guinea;59.2;60.1;60.7;25;27;27;0;0.0681;0;5;5;5;2.42;2.58;2.63;33.7;33.7;33.7;6.36;0;0;0;0.0331;0.0249;0.0247
Guinea-Bissau;58.7;59.3;60;17;16;17;0;0;0;5;5;5;1.73;1.93;1.96;50.7;50.7;50.7;10;0;0;0;0.0163;0.0134;0.0142
Guyana;68.6;68.9;69.2;29;34;38;0;0;0;2.5;2.5;2.5;3.67;4.56;4.03;43.2;43.2;43.2;142;0;0;0;0.0145;0.0148;0.0164
Haiti;64;64.3;65;17;20;22;;;;5;5;5;2.6;2.64;2.67;50.9;50.9;50.9;16.3;0;0;0;0.0000089;0.0000085;0.0000088
Honduras;72.1;73.8;74;31;30;29;0;0;0;4;4;4;1.03;1.13;0.934;50.5;50;50;0;37;37.6;37.7;0.0168;0.0167;0.0173
Hungary;75.5;76.4;76.8;51;48;45;0.187;0.191;0;2;2.5;2.5;1.94;1.89;1.91;30.7;30.5;30.4;1020;23.8;23.8;23.9;0.0092;0.0102;0.0105
Iceland;82.7;82.7;82.8;79;78;77;0.228;0.221;0;1;1;1;2.64;2.48;2.42;27.3;27.8;27.8;2650;22.5;0;0;0;0;0
India;68.4;68.6;69;38;40;40;0;0;0;2.5;2.5;2.5;4.97;5.1;5.26;35.1;35.1;35.1;38.6;0;0;0;0.0241;0.0251;0.0251
Indonesia;71;71.2;71.5;36;37;37;0.133;0;0;3;3;3;4.31;4.51;4.51;39.1;38.9;38.7;55;32.4;30.5;29.6;0.00882;0.00792;0.00865
Iran;76.5;77;77.3;27;29;30;0.0755;0.0952;0.111;6;6;6;1.05;1;1.03;38.5;38.8;38.8;336;30.6;30.8;31.3;0.0276;0.0297;0.0311
Iraq;76.3;76.7;76.7;16;17;18;;;;5.5;5.5;5.5;3.54;5.03;5.75;29.5;29.5;29.5;276;0;0;0;0.0541;0.035;0.0386
Ireland;81.6;81.8;81.8;75;73;74;0.118;0.118;0;1;1;1;1.85;1.61;1.61;32.2;31.8;31.8;2560;25.4;25.9;0;0.00342;0.00333;0.00307
Israel;82.6;82.9;83;61;64;62;0.213;0.215;0;1.5;1.5;2;1.19;1.15;1.26;41.4;41.4;41.4;1320;0;27.8;0;0.055;0.0548;0.0553
Italy;82.6;83;83.2;44;47;50;0.217;0.195;0;1;1;1;0.685;0.817;0.747;35.2;35.3;35.4;2350;25.8;26;26.7;0.0121;0.0134;0.0136
Jamaica;74.6;74.5;74.7;41;39;44;0.222;0.218;0.234;2.5;2.5;2.5;1.18;1.57;1.9;45.5;45.5;45.5;199;0;0;0;0.00868;0.00959;0.00972
Japan;84.1;84.2;84.2;75;72;73;0;0.218;0;1;1;1;1.23;0.976;1.34;32.1;32.1;32.1;2640;0;0;0;0.00959;0.00944;0.00933
Jordan;79.1;79.2;79.3;53;48;48;0;0.149;0.135;5.5;5;5;1.67;2.15;2.15;33.7;33.7;33.7;303;0;0;0;0.043;0.0458;0.0484
Kazakhstan;71.7;71.8;72;28;29;31;0;0;0.00265;5.5;6;6;4.63;4.17;4;26.9;26.9;26.9;321;22.6;22.7;23;0.0111;0.00934;0.00871
Kenya;64.7;65.3;65.9;25;26;28;0.11;0;0;4;4;4;3.55;3.63;3.7;41.5;41.1;40.9;34.4;31.6;0;0;0.0132;0.0132;0.0128
Kuwait;82.9;83.1;83.1;49;41;39;0;0;0;5;5;5;0.163;0.212;1.04;40;40;40;910;;;;0.0501;0.0581;0.0563
